Label,Time,Mean Intensity
12,0,154.9804241435563
12,1,181.8866090712743
12,2,259.92661691542287
12,3,238.20195439739413
12,4,240.0984743411928
12,5,223.55872667398464
12,6,203.1808176100629
12,7,200.4684329199549
12,8,145.04671717171718
12,9,190.68134831460674
12,10,209.55014583800764
12,11,224.38866690882674
12,12,207.14447545559023
12,13,151.58139926000672
12,14,161.30750568612586
12,15,155.49860015271062
12,16,209.4162714337833
12,17,201.71944411450292
12,18,207.84318962228159
12,19,218.01809095452273
12,20,201.82628007402838
12,21,193.5339899886969
12,22,201.64557838836296
12,23,193.61355107008825
12,24,200.98219973768033
12,25,216.51468531468532
12,26,227.88140489584916
12,27,250.9549307421956
12,28,240.74177770281668
12,29,262.7144950901363
12,30,220.42971545408076
12,31,270.1670250896057
12,32,244.54423292273236
12,33,282.79512328020706
12,34,274.6997922990893
12,35,288.5474216664325
12,36,301.8774964336662
12,37,330.6788447296964
12,38,341.5764392839865
12,39,367.44052676295667
12,40,312.33430751745414
12,41,321.8930619266055
12,42,328.2466960352423
12,43,336.8863549980996
12,44,334.8934102641968
12,45,313.7148469249526
12,46,367.6422544180863
12,47,303.4666958808063
12,48,266.253884180791
12,49,307.1596107055961
12,50,340.72843989106474
12,51,339.19363356315097
12,52,338.7375515382176
12,53,314.7871552604699
12,54,326.2306258322237
12,55,314.14289415727427
12,56,314.4133148404993
12,57,290.6239198064293
12,58,320.63438485804414
12,59,315.6032402049926
12,60,319.8553946914857
12,61,295.37416616130986
12,62,301.5784879628326
12,63,343.2652108226892
12,64,327.0661397670549
12,65,310.1976233110858
12,66,300.7880652930158
12,67,339.35954108317867
12,68,261.7721914008322
12,69,298.8380918602589
12,70,262.64175867507885
12,71,268.7591293140484
12,72,244.33224755700326
12,73,247.60308424756778
12,74,264.2693965517241
12,75,266.10439373297004
12,76,282.2594835830411
12,77,265.42570339976555
12,78,261.1584635606835
12,79,274.5594415456212
12,80,265.245683510217
12,81,253.6848528356066
12,82,238.54697518817954
12,83,228.2190921392545
12,84,256.95811064567386
12,85,247.06195286195288
12,86,231.52614332526002
12,87,244.41487279843443
12,88,231.47170428524697
12,89,235.16902639398705
12,90,231.5079556898288
12,91,244.46534979423868
12,92,240.81931883779103
12,93,242.57345575959934
12,94,224.0120208664096
12,95,213.02165917449938
36,0,106.4457138851896
36,1,118.29303735401622
36,2,134.40120967741936
36,3,132.33824602363927
36,4,121.81854838709677
36,5,120.32251082251082
36,6,117.94362191551652
36,7,109.48607920610125
36,8,117.20658263305322
36,9,132.86346617855062
36,10,156.1237267418172
36,11,117.41244444444445
36,12,154.9624060150376
36,13,143.72858431018935
36,14,176.6623414921852
36,15,171.0255705251581
36,16,168.06105263157895
36,17,177.6196067722556
36,18,187.72975743081653
36,19,217.05889281507655
36,20,226.65658800393314
36,21,209.48034934497818
36,22,234.44905188580955
36,23,225.34118873826904
36,24,278.3619188191882
36,25,265.474024701039
36,26,228.25352367184678
36,27,216.4562135112594
36,28,229.65222823823407
36,29,227.73963599595552
36,30,227.85688259109313
36,31,296.0522030651341
36,32,255.8197109689647
36,33,259.9338432912963
36,34,256.66985482493595
36,35,255.20750041301835
36,36,234.8736374219494
36,37,269.5590802639983
36,38,236.84192439862542
36,39,255.73809523809524
36,40,233.05794838828174
36,41,225.89676378667204
36,42,241.244140625
36,43,245.61103992114343
36,44,245.19287559985236
36,45,276.9174738841406
36,46,267.5360069937712
36,47,305.2836655817738
36,48,311.1115412786439
36,49,284.41621683702766
36,50,321.0514401105325
36,51,272.02181164998717
36,52,298.62394822006473
36,53,306.3390784786855
36,54,291.64660550458717
36,55,323.6418905667778
36,56,318.9306898424769
36,57,295.337558227711
36,58,293.38504402095174
36,59,316.92818592355985
36,60,328.683287253313
36,61,317.03237198351974
36,62,309.10600319106504
36,63,309.2600866634569
36,64,316.3874712298609
36,65,344.6563826483073
36,66,323.9642
36,67,316.1793065664867
36,68,310.8745256558324
36,69,355.9855564995752
36,70,356.5743613138686
36,71,369.82905381639114
36,72,361.958764202732
36,73,339.6036947437871
36,74,364.3061668681983
36,75,363.2575444398512
36,76,341.6778650515757
36,77,356.34789732386673
36,78,390.67865892972276
36,79,362.0988331224518
36,80,401.30574374079526
36,81,387.5885743563469
36,82,375.7035133619884
36,83,371.76107677804544
36,84,403.92491676292724
36,85,398.259450352743
36,86,396.9017790956264
36,87,444.81252753061403
36,88,426.28313390747655
36,89,428.663060946965
36,90,409.58696357852364
36,91,391.52087158179535
36,92,382.8466505246166
36,93,420.8471606195012
36,94,420.125665307251
36,95,415.3272752789278
37,0,175.60923535253227
37,1,224.35054174633524
37,2,188.71480730223124
37,3,234.2861598440546
37,4,211.89417040358745
37,5,193.73375671714703
37,6,292.21091205211724
37,7,215.75335008375208
37,8,187.50262329485835
37,9,234.0285996055227
37,10,177.8430647291942
37,11,217.09810426540284
37,12,202.04442798963348
37,13,186.43847531337937
37,14,165.11586570111916
