Label,Time,Mean Intensity
12,0,45.49433368310598
12,1,46.80038830239049
12,2,48.706451963877704
12,3,46.23310690025027
12,4,44.89979445015416
12,5,43.42397660818713
12,6,44.69135942094549
12,7,46.14941727263672
12,8,49.32065395095368
12,9,43.98214466876332
12,10,40.77574511819116
12,11,43.64381574174828
12,12,43.43180835423333
12,13,44.3710407239819
12,14,41.57290276665777
12,15,44.39245248538012
12,16,46.9270079939094
12,17,52.60218945082783
12,18,59.0338456225177
12,19,63.51507972665148
12,20,69.8876050420168
12,21,75.38482361159623
12,22,80.28845803750228
12,23,84.45205992509364
12,24,93.56995921262636
12,25,107.25987562406937
12,26,117.61852979556329
12,27,123.75641384457505
12,28,128.41642573183952
12,29,134.47916847119964
12,30,136.7803187803188
12,31,142.36893822218178
12,32,156.47709280781538
12,33,164.1966344131258
12,34,167.29245033112582
12,35,174.6027314894348
12,36,175.19211218229623
12,37,182.7191083980762
12,38,184.72640593272712
12,39,182.77207215806052
12,40,185.7265855457227
12,41,191.10340786152182
12,42,197.2789785462696
12,43,191.33993174061433
12,44,190.05584481021162
12,45,194.50493751638555
12,46,193.05760407816481
12,47,199.13021150665855
12,48,193.77520617185422
12,49,202.19434071861255
12,50,200.19991394148022
12,51,202.60972800567023
12,52,202.6349040139616
12,53,202.39190105049136
12,54,198.90007307270736
12,55,198.33402321605328
12,56,192.77717782577395
12,57,184.13108326941105
12,58,179.12575881870384
12,59,172.09116287184855
12,60,169.33135687892067
12,61,163.5220153928763
12,62,154.54427083333334
12,63,149.86898855927913
12,64,155.2704002904602
12,65,149.39012567324954
12,66,152.54625
12,67,143.78893370747107
12,68,144.1272439281943
12,69,135.7287412119183
12,70,136.5603556814605
12,71,142.04588287098196
12,72,137.11608378702593
12,73,131.08131318621588
12,74,138.43794506612412
12,75,130.9194509662272
12,76,134.37028281975518
12,77,138.2375357256272
12,78,139.12524415969997
12,79,135.93779468938703
12,80,133.48826409996622
12,81,135.6940068643844
12,82,136.6353027657815
12,83,130.96932634439915
12,84,130.8538521943984
12,85,131.08877750403533
12,86,132.13953488372093
12,87,124.7069259026969
12,88,131.5724360608378
12,89,128.31127366609294
12,90,126.47506316084963
12,91,132.96762239126195
12,92,128.93180568285976
12,93,135.3471635762805
12,94,133.66663537363874
12,95,139.57909029192126
36,0,51.168916155419225
36,1,56.67970330411328
36,2,52.20979443772672
36,3,62.47180925666199
36,4,39.340265866209265
36,5,42.111576817459174
36,6,38.375588153888735
36,7,36.58003722661703
36,8,40.00825982357659
36,9,39.571568787829214
36,10,38.83873919674632
36,11,38.87151413063822
36,12,41.732456601788535
36,13,40.978026905829594
36,14,42.531673322371
36,15,48.8228886899433
36,16,57.37543387405256
36,17,57.68173689105086
36,18,65.46513540875728
36,19,73.54994395727566
36,20,83.46690751445087
36,21,88.20082211761586
36,22,99.99139102854554
36,23,106.56468158806288
36,24,116.14177948407085
36,25,124.45795379537954
36,26,135.43484885421745
36,27,142.7744613318684
36,28,151.13111141716018
36,29,162.9574644059786
36,30,173.9100642398287
36,31,185.36948153494527
36,32,190.28309162062615
36,33,196.7111789859499
36,34,202.29659741041854
36,35,209.94583202264863
36,36,223.20248547885993
36,37,222.79871450121334
36,38,223.91436738752174
36,39,232.761586695747
36,40,231.66010329244673
36,41,241.93245459132189
36,42,251.48864783047426
36,43,247.9134058969413
36,44,258.8432786451442
36,45,260.0158250241235
36,46,265.783804676931
36,47,270.9772671266634
36,48,271.29589300508934
36,49,274.46083620005294
36,50,278.7061676607459
36,51,293.1328760753313
36,52,302.8172888015717
36,53,298.597229467339
36,54,308.25488063516235
36,55,309.00414396003634
36,56,313.69129500268673
36,57,315.7169643386934
36,58,317.93405988551297
36,59,321.3096140119695
36,60,323.363796533106
36,61,325.6195262792065
36,62,325.24263326677556
36,63,330.88235294117646
36,64,334.0566190894947
36,65,340.9536368326025
36,66,346.8917993149305
36,67,350.13860743050145
36,68,351.8630215415444
36,69,355.2920468424456
36,70,351.77676169983863
36,71,356.39519300801163
36,72,365.58280648208705
36,73,372.04071556809436
36,74,373.23283506460604
36,75,382.33091108939914
36,76,388.07797021362626
36,77,385.90678627145087
36,78,382.80124261436316
36,79,376.2143657238869
36,80,393.0192343488242
36,81,402.4184387707486
36,82,401.7245103780337
36,83,394.4842292022605
36,84,400.32305384230705
36,85,388.3938401048493
36,86,381.3045247785492
36,87,358.89123555817207
36,88,367.96150395563166
36,89,365.9414162479856
36,90,379.79174147217236
36,91,395.02516052941945
36,92,386.06087154397545
36,93,404.35910344000956
36,94,389.0665775145668
36,95,395.4102827763496
37,0,110.49631215798239
37,1,112.451446512671
37,2,88.16694595726854
37,3,112.25025303643724
37,4,91.3155276816609
37,5,111.39921940340118
37,6,110.37732656514382
37,7,134.08947511558335
37,8,121.22043795620438
37,9,125.0825
37,10,172.09721854304635
37,11,75.00912721049629
37,12,177.9307764265669
37,13,85.98314014752371
37,14,133.99291914116034
37,15,146.1535195530726
37,16,145.02366492146598
37,17,116.54335793357933
37,18,140.89090450995212
37,19,132.97312045270817
37,20,165.35199814126395
37,21,200.79316628701594
37,22,205.39041881812966
37,23,167.25478011472276
37,24,161.14267319083183
37,25,178.05960705960706
37,26,127.82820512820513
37,27,140.02986022871664
37,28,150.9899721448468
37,29,216.6981818181818
37,30,253.2169584620666
37,31,225.2258064516129
37,32,209.76022835394863
37,33,199.0299174690509
37,34,251.38699040767386
37,35,193.850622406639
37,36,226.41709774026683
37,37,217.58856405846947
37,38,193.06189664963088
37,39,189.4593588417787
37,40,207.43665930536037
37,41,205.2794681090827
37,42,254.57519297311686
37,43,246.45857321652065
37,44,225.36346616742443
37,45,222.17791242082072
37,46,236.4204954954955
37,47,220.88596700932345
37,48,222.84825090470446
37,49,222.52276379217997
37,50,228.82620724346077
37,51,243.89198941544382
37,52,244.67845968712393
37,53,243.4257241562583
37,54,229.16980072972214
37,55,244.726893676164
37,56,252.15358869468204
37,57,256.4876530817105
37,58,250.9546191247974
37,59,234.00394548063127
37,60,228.75940089228808
37,61,229.78327735548876
37,62,219.72469857508221
37,63,227.30324786324786
37,64,228.2565819509968
37,65,233.3715
37,66,220.1002315580549
37,67,214.5292965271594
37,68,214.43903630148137
37,69,219.6905337848734
37,70,215.00694444444446
37,71,206.12003798670466
37,72,207.11340394448501
37,73,211.28845752452514
37,74,204.7871154703522
37,75,193.65629661197528
37,76,191.91299918500408
37,77,180.06160434854226
37,78,174.8084723585214
37,79,163.56210112911143
37,80,157.79407455640566
37,81,151.02077259475217
37,82,143.23976504093983
37,83,135.41018917400262
37,84,140.51906103286385
37,85,125.46536039188244
37,86,118.54176654988014
37,87,122.1613712374582
37,88,114.79576271186441
37,89,117.62277722277722
37,90,104.95253523408391
37,91,106.74522504567348
37,92,101.74825885084155
37,93,97.85136707388017
37,94,101.06290218790218
37,95,119.30670983989926
44,0,39.775040518638576
44,1,38.831900385413576
44,2,40.460762331838566
44,3,43.874323032812995
44,4,36.34061653116531
44,5,37.55226057365095
44,6,36.045235115322726
44,7,36.48804012345679
44,8,43.437185929648244
44,9,49.630494037478705
44,10,42.659240604416894
44,11,39.439485122032764
44,12,38.933574419489915
44,13,41.31050228310502
44,14,44.1470113085622
44,15,49.12184081478687
44,16,43.634469010511054
44,17,47.43545345448312
44,18,56.048344370860924
44,19,57.585205838937185
44,20,63.56915917843389
44,21,81.45490952239692
44,22,69.07442298634008
44,23,73.20754983740987
44,24,83.84656084656085
44,25,85.24509803921569
44,26,91.59628960761779
44,27,85.94491449144914
44,28,95.3560695927244
44,29,108.35338345864662
44,30,100.81785967399007
44,31,105.6273229532898
44,32,112.82682127552306
44,33,103.48851294903926
44,34,109.4255985267035
44,35,121.89011970698589
44,36,125.5775688381464
44,37,131.38766306973747
44,38,145.5576893052303
44,39,143.54225902202782
44,40,136.66615713848975
44,41,139.54006410256412
44,42,145.19216
44,43,151.42392739273927
44,44,153.84847463340637
44,45,159.95628069063835
44,46,156.28500178126114
44,47,168.54153540043112
44,48,173.92321788528494
44,49,184.47673365924317
44,50,155.99872286079182
44,51,159.9026810842838
44,52,171.10339150477444
44,53,155.40699300699302
44,54,163.4860681114551
44,55,164.83751757381
44,56,164.64518287243533
44,57,157.23675864256265
44,58,153.67825946295696
44,59,156.737037635277
44,60,172.50775623268697
44,61,156.31355140186915
44,62,154.8466172381835
44,63,141.93296004842614
44,64,133.46056685150955
44,65,133.50628140703517
44,66,126.6715055372643
44,67,122.98306110102844
44,68,120.24337680164722
44,69,114.07181793404197
44,70,110.71225110619469
44,71,113.79773635153128
44,72,108.68034897025171
44,73,116.08910276311704
44,74,108.43171260452152
44,75,111.01152443471918
44,76,113.18306962025316
44,77,108.99374176548089
44,78,102.24350205198358
44,79,104.568306869989
44,80,100.72574716317725
44,81,104.02206587783819
44,82,103.27149896677794
44,83,106.68590258800836
44,84,101.21272325908087
44,85,113.32087418300654
44,86,108.22446236559139
44,87,111.55453087409784
44,88,97.50408210870073
44,89,107.57233782129742
44,90,104.14867694650675
44,91,104.56407086938607
44,92,97.17087206728641
44,93,96.38963048945638
44,94,103.1509708737864
44,95,96.43015597920277
202,0,32.95108028036708
202,1,32.69459757442117
202,2,33.901242433896144
202,3,33.93770367563471
