Label,Time,Mean Intensity
8,0,178.7522943230732
8,1,197.76525776187253
8,2,160.48305289429192
8,3,153.0701754385965
8,4,159.53438806459545
8,5,143.32333494597646
8,6,152.61440360090023
8,7,146.9790489883948
8,8,151.7518526360364
8,9,146.09305282626286
8,10,160.56584470094438
8,11,197.9158273381295
8,12,209.5454182471551
8,13,191.2827482068705
8,14,191.5284225485552
8,15,238.12809055704497
8,16,223.11300639658847
8,17,245.93364928909952
8,18,227.0364640883978
8,19,239.58842652795838
8,20,225.1264341441028
8,21,224.42760511882997
8,22,226.49409275260095
8,23,190.7318365639381
8,24,211.47771260997067
8,25,192.10511537052864
8,26,203.5999445522595
8,27,198.50686677049413
8,28,191.56748025843504
8,29,215.41795942720765
8,30,220.30346262446128
8,31,213.59983517777255
8,32,183.10137588381426
8,33,182.71868978805395
8,34,159.80557103064066
8,35,158.9599228977592
8,36,165.1971049910706
8,37,166.67009345794392
8,38,163.46505697665154
8,39,150.15107597716295
8,40,139.57320375975786
8,41,159.4126495106923
8,42,179.0402496099844
8,43,168.4935284662888
8,44,174.4843790343403
8,45,169.24929378531073
8,46,170.94617857513222
8,47,174.61075191570882
8,48,172.6235448005232
8,49,215.75
8,50,206.64788512564382
8,51,194.70604395604394
8,52,216.9727084769125
8,53,216.37716964398834
8,54,206.2860088365243
8,55,192.7641237113402
8,56,203.53439358675976
8,57,191.04553893196461
8,58,183.37447514891124
8,59,145.06612085076088
8,60,179.22526808030315
8,61,208.28065751377602
8,62,181.3765149474818
8,63,165.6580958374539
8,64,165.6860201397079
8,65,154.36940659340658
8,66,154.43838162006926
8,67,129.6447484909457
8,68,148.49926270857586
8,69,141.60997784399115
8,70,155.66378925435333
8,71,139.7716854844162
8,72,146.24118316268488
8,73,137.7975856047377
8,74,136.874194021102
8,75,152.87995356037152
8,76,145.37669418912603
8,77,127.89858649315683
8,78,127.33579683937417
8,79,143.69805865344898
8,80,127.40630427231677
8,81,137.8834832379395
8,82,139.1521475370056
8,83,147.52472182715636
8,84,129.03163776809927
8,85,142.0430596416154
8,86,136.7171875
8,87,136.16524288107203
8,88,132.62138420585626
8,89,125.24293483106
8,90,124.07182688306284
8,91,120.3423708833714
8,92,119.21297288387044
8,93,139.16412275064266
8,94,130.5929405997222
8,95,133.50506177076184
11,0,85.66500871705466
11,1,100.82948541235929
11,2,98.03337019449684
11,3,99.98624238018007
11,4,84.28990665110852
11,5,88.65905558235515
11,6,85.83110385506636
11,7,85.08532783853754
11,8,81.47231620213738
11,9,84.70879311197982
11,10,101.1859898768026
11,11,98.35662307261717
11,12,96.05021179873954
11,13,88.30491687301026
11,14,89.27127659574468
11,15,91.70221535291087
11,16,83.80503875968992
11,17,94.43037492517821
11,18,89.82416532582462
11,19,85.92755812071849
11,20,92.44866177479808
11,21,87.87433700530396
11,22,84.80919429245789
11,23,85.03849044449217
11,24,84.23102875809992
11,25,86.11471378738491
11,26,81.80860795767663
11,27,80.83383910323899
11,28,94.45317490737192
11,29,99.31313322006167
11,30,99.05022960084776
11,31,108.85337585563161
11,32,111.16422706176365
11,33,101.79740604734745
11,34,103.97545830869308
11,35,93.96907309179178
11,36,104.41257059192638
11,37,102.76932762528331
11,38,103.84113110539846
11,39,89.55642163328936
11,40,87.59557402396598
11,41,98.35530141500291
11,42,96.9931769324236
11,43,103.38053838902273
11,44,98.22062536414838
11,45,105.65947391885867
11,46,91.3401717557252
11,47,88.76463874989027
11,48,100.52804465184371
11,49,102.31273990129775
11,50,107.31759115593484
11,51,131.54005602240898
