Label,Time,Mean Intensity
18,0,47.784038461538465
18,1,49.61838921534739
18,2,49.43271525610428
18,3,43.69864206128134
18,4,40.43493670886076
18,5,35.92866779089376
18,6,35.66201065980518
18,7,33.44526254601821
18,8,36.33639925055357
18,9,32.48465687186163
18,10,39.93381574302859
18,11,37.55711000383289
18,12,33.90529828952858
18,13,36.5103375154621
18,14,36.75520568816658
18,15,39.737857142857145
18,16,36.84485981308411
18,17,35.22902820190408
18,18,35.51952705123612
18,19,34.684918706783776
18,20,35.466237942122184
18,21,37.04496463455709
18,22,37.80812301520976
18,23,37.19193324061196
18,24,34.50802139037433
18,25,33.25704584040747
18,26,35.660351595835465
18,27,33.761610486891385
18,28,33.05267076121348
18,29,33.54940923737916
18,30,36.316278254774836
18,31,33.55864878628416
18,32,34.8052427184466
18,33,31.410402355250245
18,34,34.82030360531309
18,35,40.0975650713686
18,36,35.531042128603104
18,37,37.066375704673575
18,38,33.331722162549234
18,39,32.414026343894626
18,40,32.652280272584306
18,41,42.53170429941231
18,42,35.429947996329155
18,43,35.16224412433662
18,44,33.52035541195477
18,45,30.99772801038624
18,46,34.62236286919831
18,47,33.29495292483408
18,48,30.90124980712853
18,49,31.20866998135488
18,50,38.65665497789297
18,51,31.02561969722176
18,52,33.53701772679875
18,53,33.67678662800614
18,54,32.756871035940804
18,55,30.915104166666666
18,56,32.14679191211591
18,57,31.308124525436597
18,58,31.512202704803357
18,59,29.910124959948735
18,60,31.240243902439026
18,61,31.828811560011797
18,62,32.683169858321655
18,63,31.267996400719856
18,64,30.984536082474225
18,65,31.186458702587736
18,66,31.255051791475633
18,67,30.27711255559357
18,68,30.243498817966902
18,69,31.348072952512045
18,70,29.797470577902686
18,71,30.116297344020115
18,72,32.1767392832045
18,73,30.343230403800476
18,74,31.08731884057971
18,75,28.68481764206955
18,76,29.14937822262663
18,77,30.458714043993233
18,78,28.675429266068985
18,79,30.767808591625883
18,80,29.458951362538805
18,81,30.71516393442623
18,82,31.325546218487396
18,83,32.72147950089126
18,84,31.513601902779843
18,85,30.61776891207611
18,86,29.2389846743295
18,87,38.32365722231879
18,88,33.65288753799392
18,89,30.42336118251928
18,90,33.36915216349992
18,91,28.3325144762239
18,92,30.914658634538153
18,93,27.9096111765696
18,94,31.51436730323041
18,95,32.24275724275724
24,0,40.5036855036855
24,1,42.752414059482426
24,2,42.67963819941102
24,3,41.466948996501564
24,4,44.52154022112085
24,5,41.55382072005878
24,6,46.34933831014591
24,7,46.03714736288768
24,8,44.32917450008546
24,9,45.11198249133686
24,10,49.191937932197675
24,11,44.93525418115582
24,12,45.44381014516392
24,13,45.2772667542707
24,14,44.15671390013495
24,15,44.284443725743856
24,16,49.82221532733478
24,17,51.49550526968382
24,18,50.302861335289805
24,19,59.60283902144367
24,20,52.12110568112401
24,21,48.76875822729267
24,22,54.568935926773456
24,23,50.72802041973908
24,24,52.25091240875913
24,25,64.00423844681433
24,26,46.16239193083573
24,27,56.516963292547274
24,28,47.572286443476955
24,29,57.173538284729204
24,30,54.40763138948884
24,31,55.33328536480069
24,32,49.9214463840399
24,33,47.005032467532466
24,34,44.79155495978552
24,35,46.55940934065934
24,36,52.684819362875956
24,37,51.7847533632287
24,38,49.647514743049705
24,39,55.20345926263086
24,40,50.95528392387436
24,41,54.65321583178726
24,42,48.0157967032967
24,43,48.168403639371384
24,44,49.00277349768875
